Pregunta,Respuesta,Dificultad (1-3),Categoría
Cuáles son las 7 unidades fundamentales del sistema internacional de unidades,"Ampere, Mol, Segundo, Kilogramo, Candela, Metro, Kelvin",3,Física
La gravedad es una fuerza?,"No, es geometría",2,Física
¿Qué físico que trabajo en el Proyecto Manhatan ganó un Nobel por su trabjo en Electrodinámica Cuántica?,Richard Feynmann,3,Física
En qué parte del avión puedes tener un viaje más agitado?,En la cola,1,Física
Qué color produce sobre el negro la combinación más visible?,Amarillo,1,Física
Cómo se llama la fuerza ficticia que impulsa hacia el exterior al pasajero de un coche que toma una curva?,Centrífuga,1,Física
Cuál es el nombre que lleva el espacio que no tiene materia en su interior?,Vacío,1,Física
Qué ciencia trata sobre el origen del universo y su estructura?,Cosmología,1,Física
¿A qué temperatura ebulle el agua en la escala de grados Kelvin?,"373,15° K",1,Física
Que material se solidifica a los -39° Centigrados?,Mercurio,1,Física
"Qué ocurre si se lanza un fósforo a un barril de gasolina, Se hunde o flota?",Se hunde,1,Física
Quién fue el primer griego que afirmó que la tierra era redonda?,Pitágoras*,1,Física
Qué se sobrepasa cuando ocurre un Boom Sónico? (Estallido de sonido),La velocidad del sonido,1,Física
"Por qué medio viaja más rápido el sonido, por el aire o por el agua?",Por el agua,1,Física
Einstein ganó un premio Nobel por la Teoría General de la Relatividad?,"No, lo ganó por el efecto fotoeléctrico.",2,Física
"Por qué medio viaja más rápido el sonido, por un medio sólido o por el agua?",Por los sólidos,1,Física
"Quién formuló la ""Ley de Gravitación Universal?""",Sir Isaac Newton,1,Física
Qué mide la escala Kelvin?,Temperatura,1,Física
Cuál es la velocidad de la luz?,299.792 km/s (300.000 km/s aprox.),2,Física
Cuál fue la gran contribución de Stephen Hawkings a la física?,Radiación Hawking,3,Física
Cuál fue el celebre científico y divulgador que sufría de la enfermedad ELA?,Stephen Hawking,1,Física
"Si tengo un vaso de agua con hielo lleno hasta el borde, se rebasa cuando se derrita el hielo?",No,1,Física
"¿Qué es menor, 0°k o -273,15°C ?","Ninguna, son la misma temperatura.",1,Física
"Las lámparas de sodio, de qué color emiten luz?",Amarilla,3,Física
Quién enunció la Teoría General de la Relatividad?,Albert Einstein,1,Física
"Qué carga pueden tener las partículas que rodean el núcleo atómico, positiva o negativa?",Negativa,1,Física
Qué material conduce la luz?,Fibra Óptica,2,Física
"A quién pertenece la frase: ""Dame un punto de apoyo y moveré la tierra?",Arquímides,1,Física
Cómo se llama el área de la física que se dedica a estudiar la temperatura y el calor?,Termodinámica,1,Física
Cómo se le llama al proceso en el que un átomo es dividido,Fisión,1,Física
Cuál es la carga de un Neutrón?,Neutra,1,Física
A qué se refiere la H en la Bomba H?,Hidrógeno,1,Física
Quién inventó el telescópio reflector?,Sir Isaac Newton,2,Física
Qué científica ha sido la única en lograr un premio nobel en Química y otro en Física?,Marie Curie,1,Física
Qué matrimonio de científicos descubrió el Radio?,Marie y Pier Curie,1,Física
¿Cuál es el equivalente del electrón en la antimateria?,Positrón,2,Física
Qué gas descubrió en 1774 Joseph Prestley?,El Oxígeno,2,Física
Qué ley relaciona el voltaje con la resistencia y la corriente?,La ley de Ohm,2,Física
Quién enunció la ley de acción y reacción?,Sir Isaac Newton,1,Física
La luz es una onda electromagnética?,Sí,1,Física
"Cómo se relacionan la luz visible, las ondas de radio y los rayos X?",Todas son ondas electromagnéticas,1,Física
"A qué área de la física deriva su nombre de la palabra ""cuánto""",La mecánica cuántica,1,Física
Cuál es el laboratorio de física de partículas más grande del mundo?,El Gran Colisionador de Hadrones,1,Física
Entre qué dos países está ubicado el LHC (gran colisionador de hadrones),Entre Francia y Suiza,1,Física
¿Qué detectó por primera vez el centro de investigación LIGO el 14 de Septiembre del 2015?,Ondas Gravitacionales,2,Física
¿El tiempo transcurre más rápido a nivel del mar o en la punta del Monte Everest?,En la punta del Monte Everest,3,Física
"Además de la Ley de Gravtiación Universal, ¿cuántas otras leyes enunció Sir Isaac Newton?",Las tres leyes de la mecánica.,1,Física
¿A quién se le atribuye el concepto de cuántos de luz?,Max Plank,2,Física
¿Quién enunció el Principio de Incertidumbre?,Werner Heisenberg,2,Física
"La luz blanca contiene a todos los colores del Arco Iris, ¿verdadero o falso?",Verdadero,1,Física
¿Cómo se llama el satélite natural de la Tierra?,Luna,1,Astronomía
¿Qué año llego el primer humano a la Luna?,El año 1969,1,Astronomía
¿Cuántos planetas tiene el sistema solar?,8 Planetas,1,Astronomía
¿Cuáles son los planetas rocosos del sistema solar?,"Mercurio, Venus, Tierra y Marte",1,Astronomía
¿Quién fue el primero en describir correctamente la órbita de un planeta?,Johannes Kepler,2,Astronomía
¿Cómo se llama al modelo del universo que pone al Sol en el centro?,Heliocéntrico,1,Astronomía
¿Quién fue la segunda persona en pisar la Luna?,Buzz Aldrin,2,Astronomía
¿Cuál fue la maquina creada por los humanos en salir del sistema solar?,Voyager 1 (Salió del sistema el 2012),3,Astronomía
¿Qué evento astronómico ocurre cuando la Luna se pone entre el Sol y la Tierra?,Eclipse de Sol,1,Astronomía
¿En qué año se obtuvo por primera vez una imágen real de un agujero negro?,El año 2019,1,Astronomía
¿Cuál es el tipo de estrella más densa que existe?,Estrella de neutrones,2,Astronomía
¿Cuál es la galaxia más cercana a la Vía Láctea?,Andrómeda,3,Astronomía
¿Cuál es la edad aproximada del Universo?,13.800 Millones de Años,1,Astronomía
¿Cómo se llama la principal teoría sobre el origen del Universo?,La teoría del Big Bang (gran explosión),1,Astronomía
¿Cuál es el elemento más pesado que se puede crear por la fusión nuclear dentro de una estrella?,El Fierro (Hierro),3,Astronomía
¿Dónde está ubicado el cinturón de asteroides?,Entre Júpiter y Marte,1,Astronomía
¿Quien Inventó el telescópio reflector?,Sir Isaac Newton,2,Astronomía
¿Quién fue la primera mujer en salir al espacio?,Valentina Tereshkova,2,Astronomía
¿Cuál es la altura de vuelo promedio de la Estación Espacial Internacional? (ISS),400 km,2,Astronomía
¿Cuál es la temperatura del Fondo Cósmico de Microondas? (CMB),2.7° K,3,Astronomía
¿Cuál es la estrella más cercana al Sol?,"Próxima Centauri (4,2 años Luz)",2,Astronomía
¿Cuáles son los planetas gaseosos del sistema solar?,"Júpiter, Saturno, Urano y Neptuno",1,Astronomía
¿Cuál es el asteroide más grande del cinturón de asteroides?,Vesta,2,Astronomía
"¿Cuál es el principal factor en la aparición de las 4 estaciones del año (verano, otoño, invierno, pirmavera)?",La inclinación de la Tierra,1,Astronomía
"La Tierra posee cuatro movimientos, ¿cuáles son?","Rotación, Traslación, Prescesión y Nutación",3,Astronomía
"¿Qué cuerpos celestes son conocidos como ""los faros del universo""?",Los Pulsars,2,Astronomía
¿Qué tipo de cuerpo celeste posee una gravedad tan grande que ni la luz puede escapar?,Agujero Negro,1,Astronomía
"En astronomía, ¿qué es la zona habitable?",Distancia a una estrella en la que el agua permanece líquida,1,Astronomía
¿A quién se le atribuye la teoría del Big Bang (Gran Explosión)?,Georges Lemaître,2,Astronomía
Nombre un proceso en el cuál se crean todos los elementos químicos de la tabla periódica,Supernova y/o Colisión de estrellas de neutrones,3,Astronomía
¿Qué importante molécula se encuentra dentro del núcleo de una célula?,ADN,1,Biología
¿Cuántas razas de humano hay viviendo en la Tierra?,1: El Homo Sapiens (El color de piel no hace razas distintas),1,Biología
¿Cuál es el músculo con el nombre más largo?,Esternocleidomastoídeo,2,Anatomía
¿Cuántos tipos de células eukarióticas hay?,"2, anima y vegetal",1,Biología
¿Cuántos huesos tiene el cuerpo humano?,206 huesos,2,Anatomía
¿Cómo se llama el líquido al interior del ojo?,Humor Vitreo,2,Anatomía
¿Cuántos dientes tiene un humano?,36 dientes,1,Anatomíá
¿De qué color son las estrellas más calientes del Universo?,Azules,2,Astronomía
¿De qué color son las estrellas más calientes del Universo?,Azules,2,Astronomía
¿De qué color son las estrellas más calientes del Universo?,Azules,2,Astronomía
¿De qué color son las estrellas más calientes del Universo?,Azules,2,Astronomía
¿De qué color son las estrellas más calientes del Universo?,Azules,2,Astronomía
¿De qué color son las estrellas más calientes del Universo?,Azules,2,Astronomía
¿De qué color son las estrellas más calientes del Universo?,Azules,2,Astronomía
¿De qué color son las estrellas más calientes del Universo?,Azules,2,Astronomía
¿De qué color son las estrellas más calientes del Universo?,Azules,2,Astronomía
¿De qué color son las estrellas más calientes del Universo?,Azules,2,Astronomía
¿De qué color son las estrellas más calientes del Universo?,Azules,2,Astronomía
¿De qué color son las estrellas más calientes del Universo?,Azules,2,Astronomía
¿De qué color son las estrellas más calientes del Universo?,Azules,2,Astronomía
¿De qué color son las estrellas más calientes del Universo?,Azules,2,Astronomía
¿De qué color son las estrellas más calientes del Universo?,Azules,2,Astronomía
¿De qué color son las estrellas más calientes del Universo?,Azules,2,Astronomía
¿De qué color son las estrellas más calientes del Universo?,Azules,2,Astronomía
¿De qué color son las estrellas más calientes del Universo?,Azules,2,Astronomía